threshold,persistence_bars,persistence_s,delay_bars,delay_s,horizon_bars,horizon_s,cost,n_trades,trades_wk,mean_gross,mean_net,sharpe,win_rate
3.0,0,0,0,0,30,300,0.3,5924,159.4923076923077,0.5291019581364025,0.22910195813640233,0.03646257760456306,0.5214382174206618
3.0,0,0,0,0,30,300,0.5,5924,159.4923076923077,0.5291019581364025,0.029101958136402463,0.004631703786492934,0.49932478055367996
3.0,0,0,0,0,30,300,0.7,5924,159.4923076923077,0.5291019581364025,-0.1708980418635974,-0.027199170031577194,0.4761985145172181
3.0,0,0,1,10,1,10,0.3,8693,234.04230769230767,0.1044863683423597,-0.1955136316576403,-0.06994146926978617,0.3340618888761072
3.0,0,0,1,10,1,10,0.5,8693,234.04230769230767,0.1044863683423597,-0.3955136316576403,-0.14148785575628872,0.2588289428275624
3.0,0,0,1,10,1,10,0.7,8693,234.04230769230767,0.1044863683423597,-0.5955136316576403,-0.21303424224279127,0.20855861037616474
3.0,0,0,1,10,2,20,0.3,8403,226.23461538461535,0.11289420445081672,-0.18710579554918327,-0.05306448668569146,0.3900987742472926
3.0,0,0,1,10,2,20,0.5,8403,226.23461538461535,0.11289420445081672,-0.3871057955491833,-0.109785858174949,0.3238129239557301
3.0,0,0,1,10,2,20,0.7,8403,226.23461538461535,0.11289420445081672,-0.5871057955491833,-0.16650722966420653,0.2724027133166726
3.0,0,0,1,10,3,30,0.3,8124,218.72307692307692,0.10518217626786125,-0.19481782373213877,-0.048243765186048525,0.4121122599704579
3.0,0,0,1,10,3,30,0.5,8124,218.72307692307692,0.10518217626786125,-0.39481782373213875,-0.09777082001279826,0.35696701132447073
3.0,0,0,1,10,3,30,0.7,8124,218.72307692307692,0.10518217626786125,-0.5948178237321388,-0.147297874839548,0.31314623338257014
3.0,0,0,1,10,6,60,0.3,7594,204.45384615384614,0.13750987621807886,-0.16249012378192115,-0.03591414137719261,0.44640505662365026
3.0,0,0,1,10,6,60,0.5,7594,204.45384615384614,0.13750987621807886,-0.36249012378192114,-0.08011884815111711,0.40097445351593364
3.0,0,0,1,10,6,60,0.7,7594,204.45384615384614,0.13750987621807886,-0.562490123781921,-0.12432355492504156,0.36265472741638133
3.0,0,0,1,10,12,120,0.3,6939,186.81923076923076,0.1411802853437077,-0.15881971465629244,-0.03130983274958465,0.4591439688715953
3.0,0,0,1,10,12,120,0.5,6939,186.81923076923076,0.1411802853437077,-0.3588197146562923,-0.07073797656327098,0.4262862083873757
3.0,0,0,1,10,12,120,0.7,6939,186.81923076923076,0.1411802853437077,-0.5588197146562922,-0.11016612037695732,0.3976077244559735
3.0,0,0,1,10,30,300,0.3,5923,159.4653846153846,0.06667229444540831,-0.23332770555459184,-0.036508638976708585,0.4712139118689853
3.0,0,0,1,10,30,300,0.5,5923,159.4653846153846,0.06667229444540831,-0.4333277055545917,-0.0678025128781657,0.45027857504642915
3.0,0,0,1,10,30,300,0.7,5923,159.4653846153846,0.06667229444540831,-0.6333277055545916,-0.09909638677962285,0.4317069052844842
3.0,1,10,0,0,1,10,0.3,1046,28.16153846153846,0.9068833652007813,0.6068833652007815,0.09168150666709113,0.42065009560229444
3.0,1,10,0,0,1,10,0.5,1046,28.16153846153846,0.9068833652007813,0.4068833652007812,0.06146762639810096,0.3479923518164436
3.0,1,10,0,0,1,10,0.7,1046,28.16153846153846,0.9068833652007813,0.20688336520078116,0.03125374612911081,0.30210325047801145
3.0,1,10,0,0,2,20,0.3,1046,28.16153846153846,1.1502390057361944,0.8502390057361946,0.10174456324415251,0.45124282982791586
3.0,1,10,0,0,2,20,0.5,1046,28.16153846153846,1.1502390057361944,0.6502390057361945,0.07781139561535026,0.4005736137667304
3.0,1,10,0,0,2,20,0.7,1046,28.16153846153846,1.1502390057361944,0.45023900573619435,0.05387822798654798,0.35372848948374763
3.0,1,10,0,0,3,30,0.3,999,26.896153846153844,1.5546546546546818,1.254654654654682,0.1367531495184333,0.4864864864864865
3.0,1,10,0,0,3,30,0.5,999,26.896153846153844,1.5546546546546818,1.0546546546546818,0.11495382027494964,0.4444444444444444
